,orig.ident,nCount_RNA,nFeature_RNA,cell_type,plate,batch,tech,celltype
CD141_P10_S73,CD141,17337.7043576818,5806,CD141,P10,batch1,batch1,CD141
CD141_P10_S74,CD141,15720.3842282502,4774,CD141,P10,batch1,batch1,CD141
CD141_P10_S75,CD141,17178.0388725233,5893,CD141,P10,batch1,batch1,CD141
CD141_P10_S76,CD141,14219.7218172009,4177,CD141,P10,batch1,batch1,CD141
CD141_P10_S77,CD141,17464.1525660282,6127,CD141,P10,batch1,batch1,CD141
CD141_P10_S78,CD141,19385.6630859486,6741,CD141,P10,batch1,batch1,CD141
CD141_P10_S79,CD141,16099.9898580181,6338,CD141,P10,batch1,batch1,CD141
CD141_P10_S80,CD141,16557.9003703786,6889,CD141,P10,batch1,batch1,CD141
CD141_P10_S81,CD141,16705.6631884014,6677,CD141,P10,batch1,batch1,CD141
CD141_P10_S82,CD141,18068.1727472783,6423,CD141,P10,batch1,batch1,CD141
CD141_P10_S83,CD141,10221.01483292,4166,CD141,P10,batch1,batch1,CD141
CD141_P10_S84,CD141,17627.1925027202,5977,CD141,P10,batch1,batch1,CD141
CD141_P10_S85,CD141,17127.6479204738,6192,CD141,P10,batch1,batch1,CD141
CD141_P10_S86,CD141,14232.2625333546,5047,CD141,P10,batch1,batch1,CD141
CD141_P10_S87,CD141,15523.0502027877,5703,CD141,P10,batch1,batch1,CD141
CD141_P10_S88,CD141,16018.7360236717,6240,CD141,P10,batch1,batch1,CD141
CD141_P10_S89,CD141,17819.0609986318,6716,CD141,P10,batch1,batch1,CD141
CD141_P10_S90,CD141,19281.6432596628,7119,CD141,P10,batch1,batch1,CD141
CD141_P10_S91,CD141,16814.5504131431,6734,CD141,P10,batch1,batch1,CD141
CD141_P10_S92,CD141,17251.7093851937,6910,CD141,P10,batch1,batch1,CD141
CD141_P10_S93,CD141,15675.7681560715,6156,CD141,P10,batch1,batch1,CD141
CD141_P10_S94,CD141,16883.082729047,6647,CD141,P10,batch1,batch1,CD141
CD141_P10_S95,CD141,17615.9104981342,7237,CD141,P10,batch1,batch1,CD141
CD141_P10_S96,CD141,15092.4570014316,6382,CD141,P10,batch1,batch1,CD141
CD141_P13_S49,CD141,15670.4895330309,4985,CD141,P13,batch2,batch2,CD141
CD141_P13_S50,CD141,15507.6889876639,4803,CD141,P13,batch2,batch2,CD141
CD141_P13_S51,CD141,15994.743230276,5092,CD141,P13,batch2,batch2,CD141
CD141_P13_S52,CD141,15261.3403611253,4731,CD141,P13,batch2,batch2,CD141
CD141_P13_S53,CD141,15811.9282518194,5236,CD141,P13,batch2,batch2,CD141
CD141_P13_S54,CD141,12852.3676150891,3800,CD141,P13,batch2,batch2,CD141
CD141_P13_S55,CD141,14367.2636161811,4541,CD141,P13,batch2,batch2,CD141
CD141_P13_S56,CD141,14825.9061782274,4861,CD141,P13,batch2,batch2,CD141
CD141_P13_S57,CD141,16006.5754096344,5310,CD141,P13,batch2,batch2,CD141
CD141_P13_S58,CD141,15552.272418616,4975,CD141,P13,batch2,batch2,CD141
CD141_P13_S59,CD141,16277.2992294142,5373,CD141,P13,batch2,batch2,CD141
CD141_P13_S60,CD141,14208.764960294,4767,CD141,P13,batch2,batch2,CD141
CD141_P13_S61,CD141,17144.9336758955,5741,CD141,P13,batch2,batch2,CD141
CD141_P13_S62,CD141,15850.7786108134,5163,CD141,P13,batch2,batch2,CD141
CD141_P13_S63,CD141,16870.3626319657,5565,CD141,P13,batch2,batch2,CD141
CD141_P13_S64,CD141,15745.8206105372,4837,CD141,P13,batch2,batch2,CD141
CD141_P13_S65,CD141,16191.1183289778,5451,CD141,P13,batch2,batch2,CD141
CD141_P13_S66,CD141,14284.3443664909,4001,CD141,P13,batch2,batch2,CD141
CD141_P13_S67,CD141,12700.8877633666,4162,CD141,P13,batch2,batch2,CD141
CD141_P13_S68,CD141,13403.6971111887,4160,CD141,P13,batch2,batch2,CD141
CD141_P13_S69,CD141,15177.9885016988,5192,CD141,P13,batch2,batch2,CD141
CD141_P13_S70,CD141,16672.0968237406,5449,CD141,P13,batch2,batch2,CD141
CD141_P13_S71,CD141,14841.3776112097,5401,CD141,P13,batch2,batch2,CD141
CD141_P13_S72,CD141,16042.9669657558,5147,CD141,P13,batch2,batch2,CD141
CD141_P14_S73,CD141,16636.8273524405,5059,CD141,P14,batch2,batch2,CD141
CD141_P14_S74,CD141,16836.0448589569,5383,CD141,P14,batch2,batch2,CD141
CD141_P14_S75,CD141,17729.8879005472,5680,CD141,P14,batch2,batch2,CD141
CD141_P14_S76,CD141,17530.1862506267,5428,CD141,P14,batch2,batch2,CD141
CD141_P14_S77,CD141,16173.5619013032,5077,CD141,P14,batch2,batch2,CD141
CD141_P14_S78,CD141,16781.2327847369,5161,CD141,P14,batch2,batch2,CD141
CD141_P14_S79,CD141,16247.3322963262,5037,CD141,P14,batch2,batch2,CD141
CD141_P14_S80,CD141,16188.4720042658,4978,CD141,P14,batch2,batch2,CD141
CD141_P14_S81,CD141,17026.4665558867,5060,CD141,P14,batch2,batch2,CD141
CD141_P14_S82,CD141,12881.3783035264,3609,CD141,P14,batch2,batch2,CD141
CD141_P14_S83,CD141,15390.8281908806,4398,CD141,P14,batch2,batch2,CD141
CD141_P14_S84,CD141,15736.7038873828,4860,CD141,P14,batch2,batch2,CD141
CD141_P14_S85,CD141,16487.2846304132,5245,CD141,P14,batch2,batch2,CD141
CD141_P14_S86,CD141,16243.4484125153,5089,CD141,P14,batch2,batch2,CD141
CD141_P14_S87,CD141,16116.0064429908,5033,CD141,P14,batch2,batch2,CD141
CD141_P14_S88,CD141,16237.6761485299,4858,CD141,P14,batch2,batch2,CD141
CD141_P14_S89,CD141,15807.0832199604,4727,CD141,P14,batch2,batch2,CD141
CD141_P14_S90,CD141,16446.6993513708,4986,CD141,P14,batch2,batch2,CD141
CD141_P14_S91,CD141,18037.4183872787,5387,CD141,P14,batch2,batch2,CD141
CD141_P14_S92,CD141,16460.0399273622,5078,CD141,P14,batch2,batch2,CD141
CD141_P14_S93,CD141,16924.4926588618,5085,CD141,P14,batch2,batch2,CD141
CD141_P14_S94,CD141,16083.1290186603,4986,CD141,P14,batch2,batch2,CD141
CD141_P14_S95,CD141,15666.0109221631,4829,CD141,P14,batch2,batch2,CD141
CD141_P14_S96,CD141,15512.414363201,4740,CD141,P14,batch2,batch2,CD141
CD141_P3_S10,CD141,18786.114272547,6217,CD141,P3,batch2,batch2,CD141
CD141_P3_S11,CD141,15633.4203525505,5464,CD141,P3,batch2,batch2,CD141
CD141_P3_S12,CD141,16091.8780573169,5348,CD141,P3,batch2,batch2,CD141
CD141_P3_S13,CD141,15762.875390131,4680,CD141,P3,batch2,batch2,CD141
CD141_P3_S14,CD141,14737.9231723388,4393,CD141,P3,batch2,batch2,CD141
CD141_P3_S15,CD141,14759.2662563988,4451,CD141,P3,batch2,batch2,CD141
CD141_P3_S16,CD141,15324.6110055549,4529,CD141,P3,batch2,batch2,CD141
CD141_P3_S17,CD141,15518.6352062301,4614,CD141,P3,batch2,batch2,CD141
