cell_id,condition
C70R_C70R.bcDWVD_1,resistant
C70R_C70R.bcATGT_3,resistant
C70R_C70R.bcBIIV_5,resistant
C70R_C70R.bcBTJW_6,resistant
C70R_C70R.bcGNGI_9,resistant
C70R_C70R.bcCNHG_11,resistant
C70R_C70R.bcIFPN_12,resistant
C70R_C70R.bcCYNY_13,resistant
C70R_C70R.bcGPWQ_14,resistant
C70R_C70R.bcIHJN_15,resistant
C70R_C70R.bcGBQP_17,resistant
C70R_C70R.bcFQSU_18,resistant
C70R_C70R.bcHCYB_20,resistant
C70R_C70R.bcFXDC_21,resistant
C70R_C70R.bcAKUX_22,resistant
C70R_C70R.bcBRIX_23,resistant
C70R_C70R.bcAUEG_24,resistant
C70R_C70R.bcCWOQ_25,resistant
C70R_C70R.bcCKJY_26,resistant
C70R_C70R.bcBQLD_27,resistant
C70R_C70R.bcAYRP_28,resistant
C70R_C70R.bcGPXU_29,resistant
C70R_C70R.bcAKSM_31,resistant
C70R_C70R.bcHHKE_32,resistant
C70R_C70R.bcDUUN_34,resistant
C70R_C70R.bcHIHF_35,resistant
C70R_C70R.bcAMTC_36,resistant
C70R_C70R.bcARBY_37,resistant
C70R_C70R.bcFIVC_39,resistant
C70R_C70R.bcCKMX_40,resistant
C70R_C70R.bcCDGP_42,resistant
C70R_C70R.bcAQLC_44,resistant
C70R_C70R.bcHEBT_45,resistant
C70R_C70R.bcDCUE_46,resistant
C70R_C70R.bcEPQX_48,resistant
C70R_C70R.bcEXIC_49,resistant
C70R_C70R.bcFOBV_50,resistant
C70R_C70R.bcGBEK_51,resistant
C70R_C70R.bcHRSS_53,resistant
C70R_C70R.bcGACY_54,resistant
C70R_C70R.bcAJYK_55,resistant
C70R_C70R.bcAHKD_57,resistant
C70R_C70R.bcCVJJ_58,resistant
C70R_C70R.bcFXJY_59,resistant
C70R_C70R.bcGBFL_60,resistant
C70R_C70R.bcEMEY_61,resistant
C70R_C70R.bcEJBQ_62,resistant
C70R_C70R.bcDAIB_63,resistant
C70R_C70R.bcDGEY_64,resistant
C70R_C70R.bcCBNA_65,resistant
C70R_C70R.bcCIUA_66,resistant
C70R_C70R.bcBWLK_67,resistant
C70R_C70R.bcAGDG_68,resistant
C70R_C70R.bcHCEE_69,resistant
C70R_C70R.bcCSAW_70,resistant
C70R_C70R.bcBVDZ_71,resistant
C70R_C70R.bcEIOA_73,resistant
C70R_C70R.bcDLOP_74,resistant
C70R_C70R.bcALUX_75,resistant
C70R_C70R.bcFXPW_76,resistant
C70R_C70R.bcHARC_78,resistant
C70R_C70R.bcAIVE_79,resistant
C70R_C70R.bcDVOF_80,resistant
C70R_C70R.bcAJKD_82,resistant
C70R_C70R.bcECJW_83,resistant
C70R_C70R.bcGOWY_84,resistant
C70R_C70R.bcADUS_85,resistant
C70R_C70R.bcGFEW_86,resistant
C70R_C70R.bcDYXB_87,resistant
C70R_C70R.bcAGUI_89,resistant
C70R_C70R.bcGUBU_90,resistant
C70R_C70R.bcBNKH_91,resistant
C70R_C70R.bcBVSH_92,resistant
C70R_C70R.bcGLON_93,resistant
C70R_C70R.bcBEKD_94,resistant
C70R_C70R.bcEWPA_95,resistant
C70R_C70R.bcGMEP_96,resistant
C70R_C70R.bcGVMP_98,resistant
C70R_C70R.bcDPPH_99,resistant
C70R_C70R.bcHAWC_100,resistant
C70R_C70R.bcFBEL_102,resistant
C70R_C70R.bcDADT_103,resistant
C70R_C70R.bcCUIM_106,resistant
C70R_C70R.bcIEML_108,resistant
C70R_C70R.bcBHQA_109,resistant
C70R_C70R.bcCDUY_110,resistant
C70R_C70R.bcHUON_111,resistant
C70R_C70R.bcDDJP_112,resistant
C70R_C70R.bcHDXT_113,resistant
C70R_C70R.bcCKJM_114,resistant
C70R_C70R.bcHSLE_116,resistant
C70R_C70R.bcFICN_117,resistant
C70R_C70R.bcGBLL_118,resistant
C70R_C70R.bcDAET_120,resistant
C70R_C70R.bcDLTO_121,resistant
C70R_C70R.bcAPIY_122,resistant
C70R_C70R.bcCHTA_123,resistant
C70R_C70R.bcDGLB_124,resistant
C70R_C70R.bcGPNW_125,resistant
C70R_C70R.bcDBME_126,resistant
C70R_C70R.bcDEHB_127,resistant
C70R_C70R.bcEXAU_128,resistant
C70R_C70R.bcGFON_130,resistant
C70R_C70R.bcADCN_131,resistant
C70R_C70R.bcHXXK_132,resistant
C70R_C70R.bcHENO_133,resistant
